Name,SPDR S&P 500 ETF Trust (SPY),iShares Core S&P 500 ETF (IVV),Vanguard S&P 500 ETF (VOO),Vanguard Total Stock Market ETF (VTI),Invesco QQQ Trust Series I (QQQ),Vanguard FTSE Developed Markets ETF (VEA),Vanguard Growth ETF (VUG),iShares Core MSCI EAFE ETF (IEFA),Vanguard Value ETF (VTV),Vanguard Total Bond Market ETF (BND),iShares Core U.S. Aggregate Bond ETF (AGG),iShares Russell 1000 Growth ETF (IWF),iShares Core S&P Mid-Cap ETF (IJH),iShares Core S&P Small Cap ETF (IJR),Vanguard Dividend Appreciation ETF (VIG),Vanguard FTSE Emerging Markets ETF (VWO),iShares Core MSCI Emerging Markets ETF (IEMG),Vanguard Total International Stock ETF (VXUS),Vanguard Information Technology ETF (VGT),Technology Select Sector SPDR Fund (XLK)
Symbol,SPY,IVV,VOO,VTI,QQQ,VEA,VUG,IEFA,VTV,BND,AGG,IWF,IJH,IJR,VIG,VWO,IEMG,VXUS,VGT,XLK
Type,ETF ,ETF ,ETF ,ETF ,ETF ,ETF ,ETF ,ETF ,ETF ,ETF ,ETF ,ETF ,ETF ,ETF ,ETF ,ETF ,ETF ,ETF ,ETF ,ETF 
Jurisdiction,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Currency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
19991029,0.0640774992389845,,,,0.0924196904874377,,,,,,,,,,,,,,,0.0303033256086067
19991130,0.0166512227524549,,,,0.117870858862561,,,,,,,,,,,,,,,0.0981621850721537
19991231,0.0571097038179482,,,,0.243196599842129,,,,,,,,,,,,,,,0.154357775584918
20000131,-0.0497874694986353,,,,-0.0184675681542493,,,,,,,,,,,,,,,-0.0614851355167506
20000229,-0.0152258440589762,,,,0.190244383431842,,,,,,,,,,,,,,,0.105068075973942
20000331,0.0969150218475483,,,,0.0257606663009446,,,,,,,,,,,,,,,0.08389246343199
20000428,-0.0351206426439832,,,,-0.134703309903973,,,,,,,,,,,,,,,-0.0918474143552244
20000531,-0.0157234352871895,,,,-0.122691045858291,,,,,,,,,,,,,,,-0.103977304266413
20000630,0.0196824056962937,0.0197539003004705,,,0.124059874390796,,,,,,,0.0544273013720335,0.0244262567469589,0.0588504855463436,,,,,,0.0995562189286911
20000731,-0.0157023390666856,-0.0175064040823525,,,-0.0428098073863093,,,,,,,-0.0391840484571747,0.00869563970836085,-0.0281901217444091,,,,,,-0.053056411341821
20000831,0.0653407846098917,0.0652598359724477,,,0.136269014150177,,,,,,,0.0945313024119088,0.112547473347622,0.0931294640756208,,,,,,0.101705290418392
20000929,-0.0548622298233402,-0.0544437414254302,,,-0.126691536027646,,,,,,,-0.0927343686977378,-0.0110219890494243,-0.0281507511359007,,,,,,-0.179657240848506
20001031,-0.00467794620101258,-0.00391418474580985,,,-0.0794009787502676,,,,,,,-0.0528210942917092,-0.0324174629520113,0.00532181702119683,,,,,,-0.0572777858117963
20001130,-0.0746531407122788,-0.07564713456967,,,-0.229107088210984,,,,,,,-0.148110891644003,-0.0697114253843242,-0.100429143442384,,,,,,-0.205146222802142
20001229,-0.00522615047846042,-0.00402809013625205,,,-0.0731827734329963,,,,,,,-0.0275996531954207,0.072666127487973,0.112822680710491,,,,,,-0.0989209629898132
20010131,0.0444595264150853,0.0421791831404643,,,0.10149899711729,,,,,,,0.0731138241789147,0.0166412452404898,0.0475162899528094,,,,,,0.191217535548721
20010228,-0.0953880789216934,-0.093717819004114,,,-0.262053115923595,,,,,,,-0.17750530592531,-0.0566665323665311,-0.0594361434104664,,,,,,-0.249061799674894
20010330,-0.0560371101601077,-0.0573859554280016,,,-0.174920953873921,,,,,,,-0.109740956092273,-0.0724066853352013,-0.0458769795634404,,,,,,-0.114601780401199
20010430,0.08544002079984,0.0726527878043834,,,0.178799698035798,,,,,,,0.129286358007128,0.11311067183345,0.0785226680666749,,,,,,0.161693251050388
20010531,-0.00560541149102356,0.00423339013536039,,,-0.0307689955819088,,,,,,,-0.0129142376830789,0.0220486222128098,0.0203711853410442,,,,,,-0.0409583692526642
20010629,-0.0238297425285825,-0.021469829060803,,,0.0216858530002921,,,,,,,-0.013087486429844,-0.00384342038418339,0.0216435720950876,,,,,,0.0195444382382823
