date,name,return
19810430,ECM100 - King & Victoria RSP Fund Class A Units,missing
19810430,HIL240 - Hillsdale Canadian Small Cap Equity Fund Series A CA$,missing
19810430,IGI1737 - IG PanAgora Risk Parity Private Pool F,missing
19810430,KAI103 - KAI Core Equity Pool Class O,missing
19810430,KAI303 - KAI Core Listed Equity Pool Class O,missing
19810430,LDM031 - Nymbus Sustainable Enh Short-Term Bonds Fd Class I,missing
19810430,LGQ785 - Purpose Credit Opportunities Fund Prescribed Series A,missing
19810430,LWP214 - Lightwater Nimble Fund Class O,missing
19810430,MAJ263 - Northfront Equity Fund Series N,missing
19810430,MAJ364 - Evovest Global Equity Fund Series E,missing
19810430,MAJ603 - Limpid Global Fund Series S,missing
19810430,MAJ868 - TURN8 Alternative Fund Series T,missing
19810430,MBP109 - MFS Canadian Fixed Income Fund,-0.064064
19810430,NBC4627 - NBI Global Tactical Bond Fund Private,missing
19810430,NEW314 - NewGen Equity Long-Short Fund RRSP Class F,missing
19810430,NPP507 - Ninepoint Credit Income Opportunities Fund Class F,missing
19810430,PTL054 - Portland Focused Plus Fund LP Series P,missing
19810430,RBF10590 - RBC Qube Market Neutral World Equity Fund (CAD Hedged) Series A,missing
19810430,TUR170 - Turtle Creek Equity Fund Class I Series 1.0 - 170,missing
19810430,TUR216 - Turtle Creek Equity Fund Class I Series U.S. 2.0 - 216,missing
19810430,TUR631 - Turtle Creek US Equity Fund Class F USD Cash Distribution 1 - 631,missing
19810430,VCC111 - Vision Strategic Opportunity Fund Limited Partnership,missing
19810529,AHP198 - Arrow East Coast Investment Grade II Fund Class F,missing
19810529,ALD400 - AA&A Global Equity Value Fund Series F,missing
19810529,BCM210 - Barometer Tactical Balanced Pool Class O,missing
19810529,CCL951 - CC&L Absolute Return Fund Series F,missing
19810529,CFM134A - Canso Short Term and Floating Rate Income Fund Class A,missing
19810529,CRY103 - Amethyst Arbitrage Fund Class F,missing
19810529,CVT421 - Capstone Traditional Equity Pool Fund Class I,missing
19810529,DON201 - Donville Kent Capital Ideas Fund Class A,missing
19810529,ECM100 - King & Victoria RSP Fund Class A Units,missing
19810529,HIL240 - Hillsdale Canadian Small Cap Equity Fund Series A CA$,missing
19810529,IGI1737 - IG PanAgora Risk Parity Private Pool F,missing
19810529,KAI103 - KAI Core Equity Pool Class O,missing
19810529,KAI303 - KAI Core Listed Equity Pool Class O,missing
19810529,LDM031 - Nymbus Sustainable Enh Short-Term Bonds Fd Class I,missing
19810529,LGQ785 - Purpose Credit Opportunities Fund Prescribed Series A,missing
19810529,LWP214 - Lightwater Nimble Fund Class O,missing
19810529,MAJ263 - Northfront Equity Fund Series N,missing
19810529,MAJ364 - Evovest Global Equity Fund Series E,missing
19810529,MAJ603 - Limpid Global Fund Series S,missing
19810529,MAJ868 - TURN8 Alternative Fund Series T,missing
19810529,MBP109 - MFS Canadian Fixed Income Fund,0.027807
19810529,NBC4627 - NBI Global Tactical Bond Fund Private,missing
19810529,NEW314 - NewGen Equity Long-Short Fund RRSP Class F,missing
19810529,NPP507 - Ninepoint Credit Income Opportunities Fund Class F,missing
19810529,PTL054 - Portland Focused Plus Fund LP Series P,missing
19810529,RBF10590 - RBC Qube Market Neutral World Equity Fund (CAD Hedged) Series A,missing
19810529,TUR170 - Turtle Creek Equity Fund Class I Series 1.0 - 170,missing
19810529,TUR216 - Turtle Creek Equity Fund Class I Series U.S. 2.0 - 216,missing
19810529,TUR631 - Turtle Creek US Equity Fund Class F USD Cash Distribution 1 - 631,missing
19810529,VCC111 - Vision Strategic Opportunity Fund Limited Partnership,missing
19810630,AHP198 - Arrow East Coast Investment Grade II Fund Class F,missing
19810630,ALD400 - AA&A Global Equity Value Fund Series F,missing
19810630,BCM210 - Barometer Tactical Balanced Pool Class O,missing
19810630,CCL951 - CC&L Absolute Return Fund Series F,missing
19810630,CFM134A - Canso Short Term and Floating Rate Income Fund Class A,missing
19810630,CRY103 - Amethyst Arbitrage Fund Class F,missing
19810630,CVT421 - Capstone Traditional Equity Pool Fund Class I,missing
19810630,DON201 - Donville Kent Capital Ideas Fund Class A,missing
19810630,ECM100 - King & Victoria RSP Fund Class A Units,missing
19810630,HIL240 - Hillsdale Canadian Small Cap Equity Fund Series A CA$,missing
19810630,IGI1737 - IG PanAgora Risk Parity Private Pool F,missing
19810630,KAI103 - KAI Core Equity Pool Class O,missing
19810630,KAI303 - KAI Core Listed Equity Pool Class O,missing
19810630,LDM031 - Nymbus Sustainable Enh Short-Term Bonds Fd Class I,missing
19810630,LGQ785 - Purpose Credit Opportunities Fund Prescribed Series A,missing
19810630,LWP214 - Lightwater Nimble Fund Class O,missing
19810630,MAJ263 - Northfront Equity Fund Series N,missing
19810630,MAJ364 - Evovest Global Equity Fund Series E,missing
19810630,MAJ603 - Limpid Global Fund Series S,missing
19810630,MAJ868 - TURN8 Alternative Fund Series T,missing
19810630,MBP109 - MFS Canadian Fixed Income Fund,0.003122
19810630,NBC4627 - NBI Global Tactical Bond Fund Private,missing
19810630,NEW314 - NewGen Equity Long-Short Fund RRSP Class F,missing
19810630,NPP507 - Ninepoint Credit Income Opportunities Fund Class F,missing
19810630,PTL054 - Portland Focused Plus Fund LP Series P,missing
19810630,RBF10590 - RBC Qube Market Neutral World Equity Fund (CAD Hedged) Series A,missing
19810630,TUR170 - Turtle Creek Equity Fund Class I Series 1.0 - 170,missing
19810630,TUR216 - Turtle Creek Equity Fund Class I Series U.S. 2.0 - 216,missing
19810630,TUR631 - Turtle Creek US Equity Fund Class F USD Cash Distribution 1 - 631,missing
19810630,VCC111 - Vision Strategic Opportunity Fund Limited Partnership,missing
19810731,AHP198 - Arrow East Coast Investment Grade II Fund Class F,missing
19810731,ALD400 - AA&A Global Equity Value Fund Series F,missing
19810731,BCM210 - Barometer Tactical Balanced Pool Class O,missing
19810731,CCL951 - CC&L Absolute Return Fund Series F,missing
19810731,CFM134A - Canso Short Term and Floating Rate Income Fund Class A,missing
19810731,CRY103 - Amethyst Arbitrage Fund Class F,missing
19810731,CVT421 - Capstone Traditional Equity Pool Fund Class I,missing
19810731,DON201 - Donville Kent Capital Ideas Fund Class A,missing
19810731,ECM100 - King & Victoria RSP Fund Class A Units,missing
19810731,HIL240 - Hillsdale Canadian Small Cap Equity Fund Series A CA$,missing
19810731,IGI1737 - IG PanAgora Risk Parity Private Pool F,missing
19810731,KAI103 - KAI Core Equity Pool Class O,missing
19810731,KAI303 - KAI Core Listed Equity Pool Class O,missing
19810731,LDM031 - Nymbus Sustainable Enh Short-Term Bonds Fd Class I,missing
19810731,LGQ785 - Purpose Credit Opportunities Fund Prescribed Series A,missing
19810731,LWP214 - Lightwater Nimble Fund Class O,missing
19810731,MAJ263 - Northfront Equity Fund Series N,missing
19810731,MAJ364 - Evovest Global Equity Fund Series E,missing
